schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message
Github_trivial---o13839.json,Github_trivial,maskbench/data/Github_trivial---o13839.json,Github_trivial---o13839.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,2120,99,44,1360411,805587,194,730459,25,1043,19,575,524,20,69,5,14,14,,
Github_trivial---o13839.json,Github_trivial,maskbench/data/Github_trivial---o13839.json,Github_trivial---o13839.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,2120,99,99,1360411,805587,194,730459,18,223,20,34,27,2,27,2,28,1,0,
Github_trivial---o13839.json,Github_trivial,maskbench/data/Github_trivial---o13839.json,Github_trivial---o13839.json::test_00002,2,invalid,xgr,XGrammar,passed,False,True,2120,99,83,1360411,805587,194,730459,18,186,17,35,27,3,27,3,24,1,0,
Github_trivial---o14485.json,Github_trivial,maskbench/data/Github_trivial---o14485.json,Github_trivial---o14485.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,2666,896,69,1327239,814538,171,1218140,22,1066,20,1012,884,53,112,5,24,24,,
Github_trivial---o14485.json,Github_trivial,maskbench/data/Github_trivial---o14485.json,Github_trivial---o14485.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,2666,896,71,1327239,814538,171,1218140,21,187,26,594,529,18,115,3,26,24,23,
Github_trivial---o16363.json,Github_trivial,maskbench/data/Github_trivial---o16363.json,Github_trivial---o16363.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,2854,234,25,1345525,848618,152,960306,21,920,18,158,113,19,39,5,8,8,,
Github_trivial---o16363.json,Github_trivial,maskbench/data/Github_trivial---o16363.json,Github_trivial---o16363.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,2854,234,29,1345525,848618,152,960306,16,137,20,83,57,11,26,5,8,6,5,
Github_trivial---o16363.json,Github_trivial,maskbench/data/Github_trivial---o16363.json,Github_trivial---o16363.json::test_00002,2,invalid,xgr,XGrammar,passed,False,True,2854,234,52,1345525,848618,152,960306,15,178,14,89,65,8,27,3,15,8,7,
Github_trivial---o16363.json,Github_trivial,maskbench/data/Github_trivial---o16363.json,Github_trivial---o16363.json::test_00003,3,invalid,xgr,XGrammar,passed,False,True,2854,234,61,1345525,848618,152,960306,19,185,18,65,43,8,26,3,15,6,5,
Github_trivial---o17123.json,Github_trivial,maskbench/data/Github_trivial---o17123.json,Github_trivial---o17123.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,1966,151,53,1356122,815050,149,713064,20,874,19,554,499,22,68,6,15,15,,
Github_trivial---o17123.json,Github_trivial,maskbench/data/Github_trivial---o17123.json,Github_trivial---o17123.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,1966,151,67,1356122,815050,149,713064,16,195,19,32,26,2,26,2,20,1,0,
Github_trivial---o17123.json,Github_trivial,maskbench/data/Github_trivial---o17123.json,Github_trivial---o17123.json::test_00002,2,invalid,xgr,XGrammar,passed,False,True,1966,151,22,1356122,815050,149,713064,20,162,24,43,32,5,32,5,6,1,0,
Github_trivial---o17125.json,Github_trivial,maskbench/data/Github_trivial---o17125.json,Github_trivial---o17125.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,2296,176,477,1355598,802598,198,755761,29,1188,24,6469,6143,133,106,5,110,110,,
Github_trivial---o17125.json,Github_trivial,maskbench/data/Github_trivial---o17125.json,Github_trivial---o17125.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,2296,176,122,1355598,802598,198,755761,19,243,26,38,31,2,31,2,39,1,0,
Github_trivial---o17608.json,Github_trivial,maskbench/data/Github_trivial---o17608.json,Github_trivial---o17608.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,1852,203,11,1315113,808956,196,779634,20,880,20,92,69,9,40,4,5,5,,
Github_trivial---o17608.json,Github_trivial,maskbench/data/Github_trivial---o17608.json,Github_trivial---o17608.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,1852,203,17,1315113,808956,196,779634,20,179,25,80,54,10,29,4,6,4,3,
Github_trivial---o17608.json,Github_trivial,maskbench/data/Github_trivial---o17608.json,Github_trivial---o17608.json::test_00002,2,invalid,xgr,XGrammar,passed,False,True,1852,203,13,1315113,808956,196,779634,15,129,16,49,35,6,24,3,5,4,3,
Github_trivial---o17608.json,Github_trivial,maskbench/data/Github_trivial---o17608.json,Github_trivial---o17608.json::test_00003,3,invalid,xgr,XGrammar,passed,False,True,1852,203,16,1315113,808956,196,779634,15,126,18,47,35,4,25,2,6,4,3,
Github_trivial---o17654.json,Github_trivial,maskbench/data/Github_trivial---o17654.json,Github_trivial---o17654.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,1732,207,38,1318964,803414,142,924192,21,908,19,319,272,18,72,4,13,13,,
Github_trivial---o17654.json,Github_trivial,maskbench/data/Github_trivial---o17654.json,Github_trivial---o17654.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,1732,207,25,1318964,803414,142,924192,18,174,20,99,71,10,25,3,12,5,4,
Github_trivial---o17654.json,Github_trivial,maskbench/data/Github_trivial---o17654.json,Github_trivial---o17654.json::test_00002,2,invalid,xgr,XGrammar,passed,False,True,1732,207,50,1318964,803414,142,924192,16,190,18,424,357,33,98,12,14,12,11,
Github_trivial---o19003.json,Github_trivial,maskbench/data/Github_trivial---o19003.json,Github_trivial---o19003.json::test_00000,0,valid,xgr,XGrammar,passed,True,True,5318,1156,28,1324867,804959,174,720761,22,884,18,649,573,34,141,5,20,20,,
Github_trivial---o19003.json,Github_trivial,maskbench/data/Github_trivial---o19003.json,Github_trivial---o19003.json::test_00001,1,invalid,xgr,XGrammar,passed,False,True,5318,1156,1156,1324867,804959,174,720761,40,1642,24,36,29,3,29,3,293,1,0,
Github_trivial---o19070.json,Github_trivial,maskbench/data/Github_trivial---o19070.json,Github_trivial---o19070.json::test_00000,0,valid,xgr,XGrammar,failed,False,True,4647,331,67,1325919,807426,164,983240,20,905,19,526,477,20,145,6,21,10,9,
